	disorder	class	gene_list
2179	Osteogenesis imperfecta, type III	Bone	COL1A1
2180	Osteogenesis imperfecta, type IV	Bone	COL1A1
2181	Osteolysis, familial expansile	Bone	TNFRSF11A, RANK, ODFR, OFE
2182	Osteolysis, idiopathic, Saudi type	Bone	MMP2, CLG4A, MONA
2183	Osteopetrosis, autosomal dominant, type I	Bone	LRP5, BMND1, LRP7, LR3, OPPG, VBCH2
2184	Osteopetrosis, autosomal dominant, type II	Bone	CLCN7, CLC7, OPTA2
2185	Osteopetrosis, autosomal recessive	Bone	OSTM1, GL
2186	Osteopetrosis, recessive	Bone	CLCN7, CLC7, OPTA2
2187	Osteopetrosis, recessive	Bone	TCIRG1, TIRC7, OC116, OPTB1
2188	Osteopoikilosis	Bone	LEMD3, MAN1
2189	Osteoporosis	Bone	COL1A1
2190	Osteoporosis	Bone	LRP5, BMND1, LRP7, LR3, OPPG, VBCH2
2191	Osteoporosis	Bone	CALCA, CALC1
2192	Osteoporosis, hypophosphatemic,	Bone	SLC17A2, NPT2
2193	Osteoporosis, idiopathic	Bone	COL1A2
2194	Osteoporosis, postmenopausal, susceptibility	Bone	CALCR, CRT
2195	Osteoporosis-pseudoglioma syndrome	Bone	LRP5, BMND1, LRP7, LR3, OPPG, VBCH2
2196	Osteoporosis, susceptibility to	Bone	RIL
2197	Osteosarcoma	Cancer	TP53, P53, LFS1
2198	Osteosarcoma, somatic	Cancer	CHEK2, RAD53, CHK2, CDS1, LFS2
2199	Otopalatodigital syndrome, type I	multiple	FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS
2200	Otopalatodigital syndrome, type II	multiple	FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS
2201	Ovarian cancer	Cancer	BRCA1, PSCP
2202	Ovarian cancer	Cancer	MSH2, COCA1, FCC1, HNPCC1
2203	Ovarian cancer	Cancer	PIK3CA
2204	Ovarian cancer, endometrial type	Cancer	MSH6, GTBP, HNPCC5
2205	Ovarian cancer, somatic,	Cancer	ERBB2, NGL, NEU, HER2
2206	Ovarian carcinoma	Cancer	CDH1, UVO
2207	Ovarian carcinoma	Cancer	RRAS2, TC21
2208	Ovarian carcinoma, endometrioid type	Cancer	CTNNB1
2209	Ovarian dysgenesis 1	Endocrine	FSHR, ODG1
2210	Ovarian dysgenesis 2	Endocrine	BMP15, GDF9B, ODG2
2211	Ovarian hyperstimulation syndrome, gestational	Endocrine	FSHR, ODG1
2212	Ovarian sex cord tumors	Cancer	FSHR, ODG1
2213	Ovarioleukodystrophy	Neurological	EIF2B2
2214	Ovarioleukodystrophy	Neurological	EIF2B4
2215	Ovarioleukodystrophy	Neurological	EIF2B5, LVWM, CACH, CLE
2216	Pachyonychia congenita, Jackson-Lawler type	Dermatological	KRT17, PC2, PCHC1
2217	Pachyonychia congenita, Jackson-Lawler type	Dermatological	KRT6B, PC2
2218	Pachyonychia congenita, Jadassohn-Lewandowsky type	Dermatological	KRT16
2219	Pachyonychia congenita, Jadassohn-Lewandowsky type	Dermatological	KRT6A
2220	Paget disease, juvenile	Bone	TNFRSF11B, OPG, OCIF
2221	Paget disease of bone	Bone	SQSTM1, P62, PDB3
2222	Paget disease of bone	Bone	TNFRSF11A, RANK, ODFR, OFE
2223	Pallidopontonigral degeneration	Neurological	MAPT, MTBT1, DDPAC, MSTD
2224	Pallister-Hall syndrome	multiple	GLI3, PAPA, PAPB, ACLS
2225	Palmoplantar keratoderma, nonepidermolytic	Dermatological	KRT16
2226	Palmoplantar verrucous nevus, unilateral	Dermatological	KRT16
2227	Pancreatic agenesis	Gastrointestinal	IPF1
2228	Pancreatic cancer	Cancer	ARMET, ARP
2229	Pancreatic cancer	Cancer	BRCA2, FANCD1
2230	Pancreatic cancer	Cancer	TP53, P53, LFS1
2231	Pancreatic cancer	Cancer	MADH4, DPC4, SMAD4, JIP
2232	Pancreatic cancer/melanoma syndrome	Cancer	CDKN2A, MTS1, P16, MLM, CMM2
2233	Pancreatic cancer, somatic	Cancer	ACVR1B, ACVRLK4, ALK4
2234	Pancreatic cancer, sporadic	Cancer	STK11, PJS, LKB1
2235	Pancreatic carcinoma, somatic	Cancer	KRAS2, RASK2
2236	Pancreatic carcinoma, somatic	Cancer	RBBP8, RIM
2237	Pancreatitis, hereditary	Gastrointestinal	PRSS1, TRY1
2238	Pancreatitis, hereditary	Gastrointestinal	SPINK1, PSTI, PCTT, TATI
2239	Pancreatitis, idiopathic	Gastrointestinal	CFTR, ABCC7, CF, MRP7
2240	Papillary serous carcinoma of the peritoneum	Cancer	BRCA1, PSCP
2241	Papillon-Lefevre syndrome	multiple	CTSC, CPPI, PALS, PLS, HMS
2242	Paraganglioma, familial malignant	Cancer	SDHB, SDH1, SDHIP
2243	Paragangliomas, familial central nervous system	Cancer	SDHD, PGL1
2244	Paragangliomas, familial nonchromaffin, 1, with and without deafness	Cancer	SDHD, PGL1
2245	Paragangliomas, familial nonchromaffin, 3	Cancer	SDHC, PGL3
2246	Paraganglioma, sporadic corotid body	Cancer	SDHD, PGL1
2247	Paramyotonia congenita	Muscular	SCN4A, HYPP, NAC1A
2248	Parathyroid adenoma, sporadic	Cancer	MEN1
2249	Parathyroid adenoma with cystic changes	Cancer	HRPT2, C1orf28
2250	Parathyroid carcinoma	Cancer	HRPT2, C1orf28
2251	Parietal foramina 1	Skeletal	MSX2, CRS2, HOX8
2252	Parietal foramina 2	Skeletal	ALX4, PFM2, FPP
2253	Parietal foramina with cleidocranial dysplasia	Skeletal	MSX2, CRS2, HOX8
2254	Parkes Weber syndrome	multiple	RASA1, GAP, CMAVM, PKWS
2255	Parkinson disease	Neurological	NR4A2, NURR1, NOT, TINUR
2256	Parkinson disease	Neurological	SNCAIP
2257	Parkinson disease	Neurological	TBP, SCA17
2258	Parkinson disease 4, autosomal dominant Lewy body	Neurological	SNCA, NACP, PARK1, PARK4
2259	Parkinson disease 7, autosomal recessive early-onset	Neurological	DJ1, PARK7
2260	Parkinson disease-8	Neurological	LRRK2, PARK8
2261	Parkinson disease, early onset	Neurological	PINK1, PARK6
2262	Parkinson disease, familial	Neurological	UCHL1, PARK5
2263	Parkinson disease, familial	Neurological	SNCA, NACP, PARK1, PARK4
2264	Parkinson disease, juvenile, type 2	Neurological	PRKN, PARK2, PDJ
2265	Parkinson disease, resistance to	Neurological	DBH
2266	Parkinson disease, susceptibility to	Neurological	NDUFV2
2267	Paroxysmal nocturnal hemoglobinuria	Hematological	PIGA
2268	Paroxysmal nonkinesigenic dyskinesia	Neurological	MR1, TAHCCP2, KIPP1184, BRP17, PNKD, FPD1, PDC, DYT8
2269	Partington syndrome	Neurological	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54
2270	PCWH	Neurological	SOX10, WS4
2271	Pelger-Huet anomaly	Hematological	LBR, PHA
2272	Pelizaeus-Merzbacher disease	Neurological	PLP1, PMD
2273	Pelizaeus-Merzbacher-like disease, autosomal recessive	Neurological	GJA12, CX47, PMLDAR
2274	Pendred syndrome	Ear,Nose,Throat	SLC26A4, PDS, DFNB4
2275	Perineal hypospadias	Endocrine	AR, DHTR, TFM, SBMA, KD, SMAX1
2276	Periodic fever, familial	Immunological	TNFRSF1A, TNFR1, TNFAR, FPF
2277	Periodontitis, juvenile	Ear,Nose,Throat	CTSC, CPPI, PALS, PLS, HMS
2278	Periventricular heterotopia with microcephaly	Neurological	ARFGEF2, BIG2
2279	Peroxisomal biogenesis disorder, complementation group 4	multiple	PEX6, PXAAA1, PAF2
2280	Peroxisomal biogenesis disorder, complementation group 6	multiple	PEX6, PXAAA1, PAF2
2281	Peroxisome biogenesis factor 12	multiple	PEX12
2282	Persistent hyperinsulinemic hypoglycemia of infancy	Metabolic	KCNJ11, BIR, PHHI
2283	Persistent Mullerian duct syndrome, type I	Developmental	AMH, MIF
2284	Persistent Mullerian duct syndrome, type II	Developmental	AMHR2, AMHR
2285	Peters anomaly	Developmental	PAX6, AN2, MGDA
2286	Peters anomaly	Developmental	CYP1B1, GLC3A
2287	Peutz-Jeghers syndrome	Cancer	STK11, PJS, LKB1
2288	Pfeiffer syndrome	Skeletal	FGFR1, FLT2, KAL2
2289	Pfeiffer syndrome	Skeletal	FGFR2, BEK, CFD1, JWS
2290	Phenylketonuria	Metabolic	PAH, PKU1
2291	Phenylketonuria due to dihydropteridine reductase deficiency	Metabolic	QDPR, DHPR
2292	Phenylketonuria due to PTS deficiency	Metabolic	PTS
2293	Phenylthiocarbamide tasting	Ear,Nose,Throat	TAS2R38, T2R61, PTC
2294	Pheochromocytoma	Cancer	SDHD, PGL1
2295	Pheochromocytoma	Cancer	VHL
2296	Pheochromocytoma, extraadrenal, and cervical paraganglioma	Cancer	SDHB, SDH1, SDHIP
2297	Phosphoglycerate dehydrogenase deficiency	Metabolic	PHGDH
2298	Phosphoribosyl pyrophosphate synthetase-related gout	Metabolic	PRPS1
2299	Phosphorylase kinase deficiency of liver and muscle, autosomal recessive	Metabolic	PHKB
2300	Phosphoserine phosphatase deficiency	Metabolic	PSP
2301	Pick disease	Neurological	PSEN1, AD3
2302	Piebaldism	Dermatological	KIT, PBT
2303	Pigmentation of hair, skin, and eyes, variation in	Dermatological	MATP, AIM1
2304	Pigmented adrenocortical disease, primary isolated	Cancer	PRKAR1A, TSE1, CNC1, CAR
2305	Pigmented paravenous chorioretinal atrophy	Ophthamological	CRB1, RP12
2306	Pilomatricoma	Cancer	CTNNB1
2307	Pituitary ACTH-secreting adenoma	Cancer	GNAI2, GNAI2B, GIP
2308	Pituitary ACTH secreting adenoma	Cancer	GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO
2309	Pituitary adenoma, nonfunctioning	Cancer	THRA, ERBA1, THRA1
2310	Pituitary anomalies with holoprosencephaly-like features	multiple	GLI2
2311	Pituitary hormone deficiency, combined	Endocrine	POU1F1, PIT1
2312	Pituitary hormone deficiency, combined	Endocrine	PROP1
2313	Pituitary hormone deficiency, combined, HESX1-related	Endocrine	HESX1, RPX
2314	Pituitary hormone deficiency, combined, with rigid cervical spine	Endocrine	LHX3
2315	Pituitary tumor, invasive	Cancer	PRKCA, PKCA
2316	Placental abruption	Unclassified	NOS3
2317	Placental steroid sulfatase deficiency	Metabolic	STS, ARSC1, ARSC, SSDD
2318	Plasmin inhibitor deficiency	Hematological	PLI, SERPINF2
2319	Plasminogen Tochigi disease	Hematological	PLG
2320	Platelet-activating factor acetylhydrolase deficiency	Hematological	PLA2G7, PAFAH
2321	Platelet ADP receptor defect	Hematological	P2RY12, P2Y12
2322	Platelet disorder, familial, with associated myeloid malignancy	Hematological	RUNX1, CBFA2, AML1
2323	Platelet glycoprotein IV deficiency	Hematological	CD36
2324	Pneumonitis, desquamative interstitial	Respiratory	SFTPC, SFTP2
2325	Pneumothorax, primary spontaneous	Respiratory	FLCN, BHD
2326	Polycystic kidney and hepatic disease	Renal	FCYT, PKHD1, ARPKD
2327	Polycystic kidney disease, adult type I	Renal	PKD1
2328	Polycystic kidney disease, adult, type II	Renal	PKD2, PKD4
2329	Polycystic kidney disease, infantile severe, with tuberous sclerosis	Renal	PKDTS
2330	Polycystic liver disease	Gastrointestinal	PRKCSH, G19P1, PCLD
2331	Polycystic liver disease	Gastrointestinal	SEC63
2332	Polycythemia, benign familial	Hematological	VHL
2333	Polycythemia vera	Hematological	JAK2
2334	Polydactyly, postaxial, types A1 and B	Skeletal	GLI3, PAPA, PAPB, ACLS
2335	Polydactyly, preaxial, type IV	Skeletal	GLI3, PAPA, PAPB, ACLS
2336	Polymicrogyria, bilateral frontoparietal	Neurological	GPR56, TM7XN1, BFPP
2337	Polyposis, juvenile intestinal	Cancer	BMPR1A, ACVRLK3, ALK3
2338	Polyposis, juvenile intestinal	Cancer	MADH4, DPC4, SMAD4, JIP
2339	Popliteal pterygium syndrome	multiple	IRF6, VWS, LPS, PIT, PPS, OFC6
2340	Porencephaly	Neurological	COL4A1
2341	Porphyria, acute hepatic	Metabolic	ALAD
2342	Porphyria, acute intermittent	Metabolic	HMBS, PBGD, UPS
2343	Porphyria, acute intermittent, nonerythroid variant	Metabolic	HMBS, PBGD, UPS
2344	Porphyria, congenital erythropoietic	Metabolic	UROS
2345	Porphyria cutanea tarda	Metabolic	UROD
2346	Porphyria, hepatoerythropoietic	Metabolic	UROD
2347	Porphyria variegata	Metabolic	HFE, HLA-H, HFE1
2348	Porphyria variegata	Metabolic	PPOX
2349	PPM-X syndrome	Neurological	MECP2, RTT, PPMX, MRX16, MRX79
2350	Prader-Willi syndrome	multiple	NDN
2351	Prader-Willi syndrome	multiple	SNRPN
2352	Precocious puberty, male	Developmental	LHCGR
2353	Preeclampsia/eclampsia 4	Cardiovascular	STOX1, PEE4
2354	Preeclampsia, susceptibility to	Cardiovascular	EPHX1
2355	Preeclampsia, susceptibility to	Cardiovascular	AGT, SERPINA8
2356	Prekallikrein deficiency	Hematological	KLKB1, KLK3
2357	Premature chromosome condensation with microcephaly and mental retardation	Neurological	MCPH1
2358	Premature ovarian failure	Renal	DIAPH2, DIA, POF2
2359	Premature ovarian failure 3	Renal	FOXL2, BPES, BPES1, PFRK, POF3
2360	Primary lateral sclerosis, juvenile	Neurological	ALS2, ALSJ, PLSJ, IAHSP
2361	Prion disease with protracted course	Neurological	PRNP, PRIP
2362	Progressive external ophthalmoplegia with mitochondrial DNA deletions	Ophthamological	C10orf2, TWINKLE, PEO1, PEO
2363	Progressive external ophthalmoplegia with mitochondrial DNA deletions	Ophthamological	POLG, POLG1, POLGA, PEO
2364	Progressive external ophthalmoplegia with mitochondrial DNA deletions	Ophthamological	SLC25A4, ANT1, T1, PEO3
2365	Proguanil poor metabolizer	Metabolic	CYP2C, CYP2C19
2366	Prolactinoma, hyperparathyroidism, carcinoid syndrome	Endocrine	MEN1
2367	Prolidase deficiency	Connective tissue	PEPD
2368	Properdin deficiency, X-linked	Immunological	PFC, PFD
2369	Propionicacidemia	Metabolic	PCCA
2370	Propionicacidemia	Metabolic	PCCB
2371	Prostate cancer 1, 176807	Cancer	RNASEL, RNS4, PRCA1, HPC1
2372	Prostate cancer	Cancer	BRCA2, FANCD1
2373	Prostate cancer	Cancer	PTEN, MMAC1
2374	Prostate cancer	Cancer	AR, DHTR, TFM, SBMA, KD, SMAX1
2375	Prostate cancer, familial	Cancer	CHEK2, RAD53, CHK2, CDS1, LFS2
2376	Prostate cancer, hereditary	Cancer	MSR1
2377	Prostate cancer, progression and metastasis of	Cancer	EPHB2, EPHT3, DRT, ERK
2378	Prostate cancer, somatic	Cancer	KLF6, COPEB, BCD1, ZF9
2379	Prostate cancer, somatic	Cancer	MAD1L1, TXBP181
2380	Prostate cancer, susceptibility to	Cancer	AR, DHTR, TFM, SBMA, KD, SMAX1
2381	Prostate cancer, susceptibility to	Cancer	ATBF1
2382	Prostate cancer, susceptibility to	Cancer	ELAC2, HPC2
2383	Prostate cancer, susceptibility to	Cancer	MXI1
2384	Protein S deficiency	Hematological	PROS1
2385	Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis	Renal	CLCN5, CLCK2, NPHL2, DENTS
2386	Protoporphyria, erythropoietic	Metabolic	FECH, FCE
2387	Protoporphyria, erythropoietic, recessive, with liver failure	Metabolic	FECH, FCE
2388	Proud syndrome	multiple	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54
2389	Pseudoachondroplasia	Skeletal	COMP, EDM1, MED, PSACH
2390	Pseudohermaphroditism, male, with gynecomastia	Developmental	HSD17B3, EDH17B3
2391	Pseudohermaphroditism, male, with Leydig cell hypoplasia	Developmental	LHCGR
2392	Pseudohypoaldosteronism, type I	Endocrine	SCNN1A
2393	Pseudohypoaldosteronism, type I	Endocrine	SCNN1B
2394	Pseudohypoaldosteronism, type I	Endocrine	SCNN1G, PHA1
2395	Pseudohypoaldosteronism type I, autosomal dominant	Endocrine	NR3C2, MLR, MCR
2396	Pseudohypoaldosteronism type II	Endocrine	WNK4, PRKWNK4, PHA2B
2397	Pseudohypoaldosteronism, type IIC	Endocrine	WNK1, PRKWNK1, KDP, PHA2C
2398	Pseudohypoparathyroidism, type Ia	Endocrine	GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO
2399	Pseudohypoparathyroidism, type Ib	Endocrine	GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO
2400	Pseudovaginal perineoscrotal hypospadias	Unclassified	SRD5A2
2401	Pseudovitamin D deficiency rickets 1	Bone	CYP27B1, PDDR, VDD1
2402	Pseudoxanthoma elasticum, autosomal dominant	Connective tissue	ABCC6, ARA, ABC34, MLP1, PXE
2403	Pseudoxanthoma elasticum, autosomal recessive	Connective tissue	ABCC6, ARA, ABC34, MLP1, PXE
2404	Psoriasis, susceptibility to	Dermatological	PSORS6
2405	Psoriatic arthritis, susceptibility to	Dermatological	CARD15, NOD2, IBD1, CD, ACUG, PSORAS1
2406	Pulmonary alveolar proteinosis	Respiratory	CSF2RB
2407	Pulmonary alveolar proteinosis	Respiratory	SFTPC, SFTP2
2408	Pulmonary alveolar proteinosis, congenital	Respiratory	SFTPB, SFTB3
2409	Pulmonary fibrosis, idiopathic, familial	Respiratory	SFTPC, SFTP2
2410	Pulmonary fibrosis, idiopathic, susceptibility to	Respiratory	SFTPA1, SFTP1
2411	Pulmonary hypertension, familial primary	Cardiovascular	BMPR2, PPH1
2412	Pycnodysostosis	Skeletal	CTSK
2413	Pyloric stenosis, infantile hypertrophic, susceptibility to	Developmental	NOS1
2414	Pyogenic sterile arthritis, pyoderma gangrenosum, and acne	Dermatological	PSTPIP1, PSTPIP, CD2BP1, PAPAS
2415	Pyropoikilocytosis	Hematological	SPTA1
2416	Pyruvate carboxylase deficiency	Metabolic	PC
2417	Pyruvate dehydrogenase deficiency	Metabolic	PDHA1, PHE1A
2418	Pyruvate dehydrogenase E1-beta deficiency	Metabolic	PDHB
2419	Rabson-Mendenhall syndrome	multiple	INSR
2420	Radioulnar synostosis with amegakaryocytic thrombocytopenia	multiple	HOXA11, HOX1I
2421	RAPADILINO syndrome	multiple	RECQL4, RTS, RECQ4
2422	Rapid progression to AIDS from HIV1 infection	Immunological	CX3CR1, GPR13, V28
2423	Rapp-Hodgkin syndrome	multiple	TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS
2424	Red hair/fair skin	Dermatological	MC1R
2425	Refsum disease	Neurological	PEX7, RCDP1
2426	Refsum disease	Neurological	PHYH, PAHX
2427	Refsum disease, infantile	Neurological	PEX1, ZWS1
2428	Refsum disease, infantile form	Neurological	PEX26
2429	Refsum disease, infantile form	Neurological	PXMP3, PAF1, PMP35, PEX2
2430	Renal carcinoma, chromophobe, somatic	Cancer	FLCN, BHD
2431	Renal cell carcinoma	Cancer	TRC8, RCA1, HRCA1
2432	Renal cell carcinoma, clear cell, somatic	Cancer	OGG1
2433	Renal cell carcinoma, papillary, 1	Cancer	PRCC, RCCP1
2434	Renal cell carcinoma, papillary, 1	Cancer	TFE3
2435	Renal cell carcinoma, papillary, familial and sporadic	Cancer	MET
2436	Renal cell carcinoma, somatic	Cancer	VHL
2437	Renal glucosuria	Renal	SLC5A2, SGLT2
2438	Renal hypoplasia, isolated	Renal	PAX2
2439	Renal tubular acidosis, distal	Renal	SLC4A1, AE1, EPB3
2440	Renal tubular acidosis, distal, autosomal recessive	Renal	ATP6V0A4, ATP6N1B, VPP2, RTA1C, RTADR
2441	Renal tubular acidosis-osteopetrosis syndrome	Renal	CA2
2442	Renal tubular acidosis, proximal, with ocular abnormalities	Renal	SLC4A4, NBC1, KNBC, SLC4A5
2443	Renal tubular acidosis with deafness	Renal	ATP6B1, VPP3
2444	Renal tubular dysgenesis	Renal	ACE, DCP1, ACE1
2445	Renal tubular dysgenesis	Renal	AGTR1, AGTR1A, AT2R1
2446	Renal tubular dysgenesis	Renal	AGT, SERPINA8
2447	Renal tubular dysgenesis	Renal	REN
2448	Renpenning syndrome	Neurological	PQBP1, NPW38, SHS, MRX55, MRXS3, RENS1, MRXS8
2449	Response to morphine-6-glucuronide	Neurological	OPRM1
2450	Resting heart rate	Cardiovascular	ADRB1, ADRB1R, RHR
2451	Restrictive dermopathy, lethal	Dermatological	ZMPSTE24, FACE1, STE24, MADB
2452	Retinal degeneration, autosomal recessive, clumped pigment type	Ophthamological	NRL, D14S46E, RP27
2453	Retinal degeneration, autosomal recessive, prominin-related	Ophthamological	PROM1, PROML1, AC133
2454	Retinal degeneration, late-onset, autosomal dominant	Ophthamological	C1QTNF5, CTRP5, LORD
2455	Retinal dystrophy, early-onset severe	Ophthamological	LRAT
2456	Retinitis pigmentosa-10	Ophthamological	IMPDH1
2457	Retinitis pigmentosa-11	Ophthamological	PRPF31, PRP31
2458	Retinitis pigmentosa-1	Ophthamological	RP1, ORP1
2459	Retinitis pigmentosa-12, autosomal recessive	Ophthamological	CRB1, RP12
2460	Retinitis pigmentosa-13	Ophthamological	PRPF8, PRPC8, RP13
2461	Retinitis pigmentosa-14	Ophthamological	TULP1, RP14
2462	Retinitis pigmentosa-17	Ophthamological	CA4, RP17
2463	Retinitis pigmentosa-18	Ophthamological	HPRP3, RP18
2464	Retinitis pigmentosa-19	Ophthamological	ABCA4, ABCR, STGD1, FFM, RP19
2465	Retinitis pigmentosa-20	Ophthamological	RPE65, RP20
2466	Retinitis pigmentosa-2	Ophthamological	RP2
2467	Retinitis pigmentosa-26	Ophthamological	CERKL
2468	Retinitis pigmentosa-27	Ophthamological	NRL, D14S46E, RP27
2469	Retinitis pigmentosa-30	Ophthamological	FSCN2, RFSN
2470	Retinitis pigmentosa-3	Ophthamological	RPGR, RP3, CRD, RP15, COD1
2471	Retinitis pigmentosa-4, autosomal dominant	Ophthamological	RHO, RP4, OPN2
2472	Retinitis pigmentosa-7	Ophthamological	RDS, RP7, PRPH2, PRPH, AVMD, AOFMD
2473	Retinitis pigmentosa-9	Ophthamological	RP9
2474	Retinitis pigmentosa, AR	Ophthamological	RLBP1
2475	Retinitis pigmentosa, AR, without hearing loss	Ophthamological	USH2A
2476	Retinitis pigmentosa, autosomal dominant	Ophthamological	RGR
2477	Retinitis pigmentosa, autosomal recessive	Ophthamological	CNGB1, CNCG3L, CNCG2
2478	Retinitis pigmentosa, autosomal recessive	Ophthamological	CNGA1, CNCG1
2479	Retinitis pigmentosa, autosomal recessive	Ophthamological	PDE6A, PDEA
2480	Retinitis pigmentosa, autosomal recessive	Ophthamological	PDE6B, PDEB, CSNB3
2481	Retinitis pigmentosa, autosomal recessive	Ophthamological	RGR
2482	Retinitis pigmentosa, autosomal recessive	Ophthamological	RHO, RP4, OPN2
2483	Retinitis pigmentosa, digenic	Ophthamological	ROM1, ROSP1
2484	Retinitis pigmentosa, digenic	Ophthamological	RDS, RP7, PRPH2, PRPH, AVMD, AOFMD
2485	Retinitis pigmentosa, juvenile	Ophthamological	AIPL1, LCA4
2486	Retinitis pigmentosa, late onset	Ophthamological	NR2E3, PNR, ESCS
2487	Retinitis pigmentosa, late-onset dominant	Ophthamological	CRX, CORD2, CRD
2488	Retinitis pigmentosa, MERTK-related	Ophthamological	MERTK
2489	Retinitis pigmentosa, X-linked with deafness and sinorespiratory infections	Ophthamological	RPGR, RP3, CRD, RP15, COD1
2490	Retinitis pigmentosa, X-linked, with recurrent respiratory infections	Ophthamological	RPGR, RP3, CRD, RP15, COD1
2491	Retinitis punctata albescens	Ophthamological	RDS, RP7, PRPH2, PRPH, AVMD, AOFMD
2492	Retinitis punctata albescens	Ophthamological	RLBP1
2493	Retinoblastoma	Cancer	RB1
2494	Retinol binding protein, deficiency of	Ophthamological	RBP4
2495	Retinoschisis	Ophthamological	RS1, XLRS1
2496	Rett syndrome	Neurological	MECP2, RTT, PPMX, MRX16, MRX79
2497	Rett syndrome, atypical	Neurological	CDKL5, STK9
2498	Rett syndrome, preserved speech variant	Neurological	MECP2, RTT, PPMX, MRX16, MRX79
2499	Rhabdoid predisposition syndrome, familial	Cancer	SMARCB1, SNF5, INI1, RDT
2500	Rhabdoid tumors	Cancer	SMARCB1, SNF5, INI1, RDT
2501	Rhabdomyosarcoma	Cancer	SLC22A1L, BWSCR1A, IMPT1
2502	Rhabdomyosarcoma, alveolar	Cancer	FOXO1A, FKHR
2503	Rhabdomyosarcoma, alveolar	Cancer	PAX3, WS1, HUP2, CDHS
2504	Rhabdomyosarcoma, alveolar	Cancer	PAX7
2505	Rheumatoid arthritis, progression of	Connective tissue	IL10, CSIF
2506	Rheumatoid arthritis, susceptibility to	Connective tissue	MHC2TA, C2TA
2507	Rheumatoid arthritis, susceptibility to	Connective tissue	NFKBIL1
2508	Rheumatoid arthritis, susceptibility to	Connective tissue	PADI4, PADI5, PAD
2509	Rheumatoid arthritis, susceptibility to	Connective tissue	PTPN8, PEP, PTPN22, LYP
2510	Rheumatoid arthritis, susceptibility to	Connective tissue	RUNX1, CBFA2, AML1
2511	Rheumatoid arthritis, susceptibility to	Connective tissue	SLC22A4, OCTN1
2512	Rheumatoid arthritis, systemic juvenile, susceptibility to	Connective tissue	MIF
2513	Rhizomelic chondrodysplasia punctata, type 1	multiple	PEX7, RCDP1
2514	Rhizomelic chondrodysplasia punctata, type 3	multiple	AGPS, ADHAPS
2515	Rh-mod syndrome	Hematological	RHAG, RH50A
2516	Rh-negative blood type	Hematological	RHD
2517	Rh-null disease, amorph type	Hematological	RHCE
2518	Ribose 5-phosphate isomerase deficiency	Metabolic	RPIA, RPI
2519	Rickets due to defect in vitamin D 25-hydroxylation	Bone	CYP2R1
2520	Rickets, vitamin D-resistant, type IIA	Bone	VDR
2521	Rickets, vitamin D-resistant, type IIB	Bone	VDR
2522	Rieger anomaly	multiple	FOXC1, FKHL7, FREAC3
2523	Rieger syndrome	multiple	PITX2, IDG2, RIEG1, RGS, IGDS2
2524	Ring dermoid of cornea	Ophthamological	PITX2, IDG2, RIEG1, RGS, IGDS2
2525	Rippling muscle disease	Muscular	CAV3, LGMD1C
2526	Roberts syndrome	Developmental	ESCO2
2527	Robinow syndrome, autosomal recessive	multiple	ROR2, BDB1, BDB, NTRKR2
2528	Rokitansky-Kuster-Hauser syndrome	Developmental	WNT4
2529	Rothmund-Thomson syndrome	multiple	RECQL4, RTS, RECQ4
2530	Roussy-Levy syndrome	multiple	MPZ, CMT1B, CMTDI3, CHM, DSS
2531	Roussy-Levy syndrome	multiple	PMP22, CMT1A, CMT1E, DSS
2532	Rubenstein-Taybi syndrome	multiple	CREBBP, CBP, RSTS
2533	Rubinstein-Taybi syndrome	multiple	EP300
2534	Saethre-Chotzen syndrome	Developmental	FGFR2, BEK, CFD1, JWS
2535	Saethre-Chotzen syndrome	Developmental	TWIST, ACS3, SCS
2536	Saethre-Chotzen syndrome with eyelid anomalies	Developmental	TWIST, ACS3, SCS
2537	Salivary adenoma	Cancer	HMGA2, HMGIC, BABL, LIPO
2538	Salla disease	Metabolic	SLC17A5, SIASD, SLD
2539	Sandhoff disease, infantile, juvenile, and adult forms	Metabolic	HEXB
2540	Sanfilippo syndrome, type A	Metabolic	SGSH, MPS3A, SFMD
2541	Sanfilippo syndrome, type B	Metabolic	NAGLU
2542	Sarcoidosis, early-onset	Immunological	CARD15, NOD2, IBD1, CD, ACUG, PSORAS1
2543	Sarcoidosis, susceptibility to	Immunological	BTNL2
2544	Sarcoidosis, susceptibility to	Immunological	HLA-DR1B
2545	Sarcoma, synovial	Cancer	SSX1, SSRC
2546	Sarcoma, synovial	Cancer	SSX2
2547	SARS, progression of	Immunological	ACE, DCP1, ACE1
2548	Schimke immunoosseous dysplasia	Connective tissue	SMARCAL1, HARP, SIOD
2549	Schindler disease, type I	Metabolic	NAGA
2550	Schindler disease, type III	Metabolic	NAGA
2551	Schizencephaly	Neurological	EMX2
2552	Schizoaffective disorder, susceptibility to	Psychiatric	DISC1
